metric,value
total_records,299
arabic_dominant_count,85
english_dominant_count,206
arabizi_count,29
missing_email_count,43
placeholder_phone_count,12
duplicate_injected_count,74
near_empty_count,8
broken_fk_count,0
order_total_mismatch_count,59
type_corruption_count,151
schema_drift_count,22
excel_serial_date_count,40
date_format_swap_count,44
phone_scientific_count,5
header_drift_count,0
address_drift_count,34
financial_format_count,13
mixed_language_count,6
pass_arabic,True
pass_email,True
pass_phone,True
pass_duplicates,True
pass_near_empty,True
pass_order_mismatch,True
