2026-06-29 17:12:52 | INFO     | etl.extract.20260629_171252 | Extracting all raw tables …
2026-06-29 17:12:52 | INFO     | etl.extract.20260629_171252 | Extracting etl_batch.csv …
2026-06-29 17:12:52 | INFO     | etl.extract.20260629_171252 |   → 2 rows extracted.
2026-06-29 17:12:52 | INFO     | etl.extract.20260629_171252 | Extracting contacts.csv …
2026-06-29 17:12:52 | INFO     | etl.extract.20260629_171252 |   → 1661 rows extracted.
2026-06-29 17:12:52 | INFO     | etl.extract.20260629_171252 | Extracting customers.csv …
2026-06-29 17:12:52 | INFO     | etl.extract.20260629_171252 |   → 1618 rows extracted.
2026-06-29 17:12:52 | INFO     | etl.extract.20260629_171252 | Extracting products.csv …
2026-06-29 17:12:52 | INFO     | etl.extract.20260629_171252 |   → 764 rows extracted.
2026-06-29 17:12:52 | INFO     | etl.extract.20260629_171252 | Extracting sales_orders.csv …
2026-06-29 17:12:52 | INFO     | etl.extract.20260629_171252 |   → 2770 rows extracted.
2026-06-29 17:12:52 | INFO     | etl.extract.20260629_171252 | Extracting order_lines.csv …
2026-06-29 17:12:52 | INFO     | etl.extract.20260629_171252 |   → 3663 rows extracted.
2026-06-29 17:12:52 | INFO     | etl.extract.20260629_171252 | Extraction complete: {'etl_batch': 2, 'contacts': 1661, 'customers': 1618, 'products': 764, 'sales_orders': 2770, 'order_lines': 3663}
